13 2321 12010
1 269 -0.00340709 -0.0434905
0 270 0.0178051 -0.041468
1 270 0.0319465 -0.0343893
0 271 -0.00744751 -0.0354006
1 271 0.00770407 -0.0273106
0 272 -0.0195687 -0.0333781
1 272 -0.00340709 -0.0262994
0 273 -0.00138688 -0.0323668
1 273 0.0137647 -0.0242769
0 274 -0.0104778 -0.0313556
1 274 0.00568386 -0.0232656
0 275 -0.0508819 -0.0242769
1 275 -0.0374139 -0.016524
0 276 0.035987 -0.0232656
1 276 0.0514618 -0.0157824
0 277 -0.0175485 -0.00708568
1 277 -0.00239698 0.00100427
0 278 -0.0054273 -0.00708568
1 278 0.0107344 -6.97348e-06
0 279 -0.0215889 -0.00607443
1 279 -0.00441719 0.00100427
0 280 -0.00744751 -0.00506319
1 280 0.0117444 0.00302677
0 281 -0.00946772 -0.00304071
1 281 0.00669396 0.00403801
0 282 -0.081185 0.0151617
1 282 -0.0630032 0.0222404
0 283 -0.060983 0.0171842
1 283 -0.0438112 0.0242629
0 284 -0.0640133 0.0192067
1 284 -0.0458314 0.0262854
0 285 -0.0781547 0.0212292
1 285 -0.0599729 0.0293191
0 286 -0.0963366 0.0242629
1 286 -0.0781547 0.0323529
0 287 -0.0539122 0.0252742
1 287 -0.0337102 0.0333641
0 288 -0.0559325 0.0262854
1 288 -0.0367405 0.0333641
0 289 -0.0589628 0.0293191
1 289 -0.0397708 0.0363979
0 290 -0.0589628 0.0313416
1 290 -0.0397708 0.0384204
0 291 -0.0589628 0.0333641
1 291 -0.0397708 0.0404428
0 292 -0.0781547 0.0353866
1 292 -0.0589628 0.0424653
0 293 -0.0801749 0.0394316
1 293 -0.060983 0.0475216
0 294 -0.0539122 0.0404428
1 294 -0.0347203 0.0475216
0 295 -0.0468415 0.0424653
1 295 -0.0276496 0.0495441
0 296 -0.0327001 0.0424653
1 296 -0.0155283 0.049207
0 297 -0.0862356 0.0434766
1 297 -0.0660335 0.0505553
0 298 -0.0630032 0.0566228
1 298 -0.0428011 0.0637015
0 299 -0.03169 0.0566228
1 299 -0.0130031 0.063533
0 300 0.0349769 0.0566228
1 300 0.0481082 0.0626902
0 301 -0.0690638 0.057634
1 301 -0.0488617 0.0647127
0 302 -0.0973467 0.0626902
1 302 -0.0771446 0.069769
0 303 -0.071084 0.0626902
1 303 -0.0498718 0.069769
0 304 -0.0579527 0.0667352
1 304 -0.0377506 0.073814
0 305 -0.0488617 0.0667352
1 305 -0.0296698 0.073814
0 306 0.0208354 0.0667352
1 306 0.0349769 0.0728027
0 307 -0.0882558 0.0687577
1 307 -0.0680537 0.0758365
0 308 -0.0842154 0.0687577
1 308 -0.0640133 0.0758365
0 309 -0.0256294 0.0687577
1 309 -0.0104778 0.0748252
0 310 -0.100377 0.0707802
1 310 -0.081185 0.0778589
0 311 -0.0731042 0.0707802
1 311 -0.0539122 0.0778589
0 312 -0.0700739 0.0707802
1 312 -0.051892 0.0778589
0 313 -0.0559325 0.0728027
1 313 -0.0387607 0.0788702
0 314 0.000633333 0.073814
1 314 0.0157849 0.0798814
0 315 0.0693203 0.0980838
1 315 0.0804315 0.10314
0 316 0.06629 0.0990951
1 316 0.0784113 0.104151
0 317 -0.0215889 0.102129
1 317 -0.0064374 0.108196
0 318 -0.0276496 0.108196
1 318 -0.0114879 0.113253
0 319 -0.0276496 0.120331
1 319 -0.012498 0.126399
0 320 0.0208354 0.124376
1 320 0.035987 0.129432
0 321 0.0178051 0.12741
1 321 0.0329566 0.132466
0 322 0.06629 0.131455
1 322 0.0784113 0.136511
0 323 0.0693203 0.131455
1 323 0.0814416 0.1355
0 324 -0.0458314 0.133477
1 324 -0.0296698 0.139545
0 325 0.0218455 0.136511
1 325 0.036997 0.141567
0 326 0.0198253 0.138534
1 326 0.0349769 0.14359
0 327 -0.0256294 0.140556
1 327 -0.0104778 0.145612
0 328 0.0178051 0.142579
1 328 0.0329566 0.147635
0 329 -0.0205788 0.146624
1 329 -0.0054273 0.15168
0 330 0.0117444 0.147635
1 330 0.026896 0.152691
0 331 -0.0428011 0.166849
1 331 -0.0273129 0.172242
0 332 -0.0387607 0.16786
1 332 -0.0236091 0.172916
0 333 0.0693203 0.179995
1 333 0.082115 0.18404
0 334 0.0693203 0.183028
1 334 0.0812733 0.186568
0 335 0.0774012 0.207298
1 335 0.088849 0.210164
0 336 0.0774012 0.210332
1 336 0.0885123 0.213366
0 337 -0.060983 0.214377
1 337 -0.0468415 0.219433
0 338 -0.0569426 0.215388
1 338 -0.0448213 0.219433
0 339 -0.0397708 0.223478
1 339 -0.0256294 0.227523
0 340 -0.0175485 0.225501
1 340 -0.00340709 0.229546
0 341 -0.0215889 0.226512
1 341 -0.00744751 0.230557
0 342 -0.0145182 0.226512
1 342 0.000633333 0.230557
0 343 0.0147748 0.226512
1 343 0.0289162 0.230557
0 344 0.016795 0.226512
1 344 0.0309364 0.229546
0 345 0.0131586 -0.0776706
1 345 0.0252799 -0.0691761
0 346 0.0058859 -0.0764571
1 346 0.0194617 -0.0682053
0 347 -0.00138683 -0.0703896
1 347 0.0131586 -0.0618952
0 348 0.00346165 -0.0703896
1 348 0.0180072 -0.0618952
0 349 0.0252799 -0.0679626
1 349 0.0386132 -0.0594682
0 350 -0.0292657 -0.0667492
1 350 -0.0147202 -0.0582547
0 351 -0.0438112 -0.0606817
1 351 -0.0304778 -0.0521872
0 352 -0.0268415 -0.0606817
1 352 -0.012296 -0.0521872
0 353 -0.0498718 -0.0594682
